Name,Image,Start Time,End Time,Date,Address,Place,City,Link,Description
‎חגיגות ה-3 שנים! נשי ותהני בחיפה! 16.8‎,https://scontent.ftlv4-1.fna.fbcdn.net/v/t1.0-9/38818136_2247018568659377_3558554054558744576_n.jpg?_nc_cat=0&oh=4bd05f334373b0cf8f49dedac1bcc2a8&oe=5C0B9FA4,10 PM,-,2018-08-16,Khayat 5 3326127 Haifa Israel,Syncopa-Bar,haifa,https://www.facebook.com/events/1090184107796390/?acontext=%7B%22ref%22%3A110%2C%22source%22%3A2%2C%22source_dashboard_filter%22%3A%22discovery%22%2C%22action_history%22%3A%22[%7B%5C%22surface%5C%22%3A%5C%22discover_filter_list%5C%22%2C%5C%22mechanism%5C%22%3A%5C%22surface%5C%22%2C%5C%22extra_data%5C%22%3A%7B%5C%22dashboard_filter%5C%22%3A%5C%22discovery%5C%22%7D%7D]%22%2C%22has_source%22%3Atrue%7D,מרתון הסטנדאפיסטיות הכי מצליח במזרח התיכון חוגג 3 שנים להיווסדו בהופעה מיוחדת בחיפה! ארבע סטנדאפיסטיות קורעות מדברות על ה-כ-ל ולא לוקחות שבויים. משתתפות: חגית גינזבורג ("הבוקר" עם טל ברמן ואביעד קיסוס "שי בשידור")  נגה ד'אנג'לי ("הצחוקיה" "עד כאן" "מתגלגלות") נועה מנור ("נוסבאום וגולדשטיין" "עד כאן") לאה לב ("מועדון לילה" "הישראליות").מופע חימום: יונה קפח. Hagit Ginzburg Noga D'Angeli Noa Manor Leah Lev מתי? חמישי 16.8 בשעה 22:00.כמה? 55 ש"ח במכירה מוקדמת. מקומות ישיבה לא מסומנים.במקום תפריט שתייה ואוכל.כניסה לגילאי 18 ומעלה.גם גברים מוזמנים! מבטיחות לא להציק לכם יותר מדי ;)
‎ישי לוי בהופעה ↫ זאפה חיפה ↫ יום ה' 16.8 ↫ *9080‎,https://scontent.ftlv4-1.fna.fbcdn.net/v/t1.0-9/35649192_2029957220378870_1718214285378715648_o.jpg?_nc_cat=0&oh=c253d2fabdba271893176accbd44b3b4&oe=5BF782C6,8:15 PM,11:15 PM,2018-08-16,Flieman Moshe road 4 3508416 Haifa Israel,זאפה חיפה - Zappa Haifa,haifa,https://www.facebook.com/events/585883105115429/?acontext=%7B%22ref%22%3A110%2C%22source%22%3A2%2C%22source_dashboard_filter%22%3A%22discovery%22%2C%22action_history%22%3A%22[%7B%5C%22surface%5C%22%3A%5C%22discover_filter_list%5C%22%2C%5C%22mechanism%5C%22%3A%5C%22surface%5C%22%2C%5C%22extra_data%5C%22%3A%7B%5C%22dashboard_filter%5C%22%3A%5C%22discovery%5C%22%7D%7D]%22%2C%22has_source%22%3Atrue%7D,ישי לוי מגיע להופעה בזאפה חיפה עם מיטב הלהיטים והשירים מהאלבום החדשפתיחת דלתות : 20:15תחילת המופע: 22:00מופע ישיבה כרטיסים:http://smarturl.it/IshaiL_Zappa_Hai*9080
Robin Food Open Mic + Buffet!,https://scontent.ftlv4-1.fna.fbcdn.net/v/t1.0-9/37949255_922452654605915_6738514107844001792_o.jpg?_nc_cat=0&oh=417b8bb7feed24a8015c86067cbbac00&oe=5C074C79,8 PM,10:30 PM,2018-08-16,Sirkin 24 Haifa Israel,רובין פוד - Robin Food,haifa,https://www.facebook.com/events/424164871426697/?acontext=%7B%22ref%22%3A110%2C%22source%22%3A2%2C%22source_dashboard_filter%22%3A%22discovery%22%2C%22action_history%22%3A%22[%7B%5C%22surface%5C%22%3A%5C%22discover_filter_list%5C%22%2C%5C%22mechanism%5C%22%3A%5C%22surface%5C%22%2C%5C%22extra_data%5C%22%3A%7B%5C%22dashboard_filter%5C%22%3A%5C%22discovery%5C%22%7D%7D]%22%2C%22has_source%22%3Atrue%7D,-
‎MONC live - מונק מריחים דג בטאקו סלאש‎,https://scontent.ftlv4-1.fna.fbcdn.net/v/t15.0-10/37832894_2342016232481110_6867374521272238080_n.jpg?_nc_cat=0&oh=88adca1e4588369ac19bc1dcb1d2d1a4&oe=5C0B3240,9 PM,11:30 PM,2018-08-16,Sha'ar Palmer 2 3303140 Haifa Israel,Taco Slash,haifa,https://www.facebook.com/events/291109288119032/?acontext=%7B%22ref%22%3A110%2C%22source%22%3A2%2C%22source_dashboard_filter%22%3A%22discovery%22%2C%22action_history%22%3A%22[%7B%5C%22surface%5C%22%3A%5C%22discover_filter_list%5C%22%2C%5C%22mechanism%5C%22%3A%5C%22surface%5C%22%2C%5C%22extra_data%5C%22%3A%7B%5C%22dashboard_filter%5C%22%3A%5C%22discovery%5C%22%7D%7D]%22%2C%22has_source%22%3Atrue%7D,דיס ג'אסט אין: להקת הסייק החיפאית האדירה מריחדג מצטרפת להילולה! טאקו בריח דגים!אז מי לא אוהב טאקו? מי??מילים:אחרי שהוציאו את אלבומם השני בלייבל הלונדוני אסיד ג'ז שהביא אותם עד הופעה לצד מאדנס ולסשן לייב בביביסי6 לקחו מן אוף נורת' קאנטרי (מוֹנק) הפסקה ארוכה מהופעות רק כדי לחזור חדים וחכמים יותר.כעת לפני טור נוסף מרגש ועמוס הופעות בממלכה הבריטית  מגיעים אנשי הצפון להופעה יחידה בצפון (חיפה תחתית רולז!). השישייה שמשלבת בקלות ובכבדות בין סול לרוקנרול בין 60יז ל-80יז מגיעה לראשונה לטאקו סלאש החדש כי אין שילוב מוצלח יותר מטאקו ומוזיקה. בדוק.פרטים:יום חמישי 16.8 21:00 דלתות. 30 שח.יהיה הר געש.
‎עיר הבירה חיפה 2018‎,https://scontent.ftlv4-1.fna.fbcdn.net/v/t1.0-9/38123005_1609311625844468_5380535312449536000_n.jpg?_nc_cat=0&oh=90f14be05fcbd419ffffd7fdea5f0ada&oe=5BFDBD3F,7 PM,2 AM,2018-08-16,Haifa Israel,מגרשי אתו״ס,haifa,https://www.facebook.com/events/1674642979315236/?acontext=%7B%22ref%22%3A110%2C%22source%22%3A2%2C%22source_dashboard_filter%22%3A%22discovery%22%2C%22action_history%22%3A%22[%7B%5C%22surface%5C%22%3A%5C%22discover_filter_list%5C%22%2C%5C%22mechanism%5C%22%3A%5C%22surface%5C%22%2C%5C%22extra_data%5C%22%3A%7B%5C%22dashboard_filter%5C%22%3A%5C%22discovery%5C%22%7D%7D]%22%2C%22has_source%22%3Atrue%7D,-
‎יום-מולטי-פתוח אוניברסיטת חיפה‎,https://scontent.ftlv4-1.fna.fbcdn.net/v/t15.0-10/p960x960/38076369_10155303488230044_5893708347256864768_n.jpg?_nc_cat=0&oh=cc7bfa4cc6b1761d31d0523350fe4a89&oe=5C0DCC47,4 PM,7 PM,2018-08-16,שדרות אבא חושי 31905 Haifa Israel,אוניברסיטת חיפה עמוד המועמדים הרשמי,haifa,https://www.facebook.com/events/219795065375313/?acontext=%7B%22ref%22%3A110%2C%22source%22%3A2%2C%22source_dashboard_filter%22%3A%22discovery%22%2C%22action_history%22%3A%22[%7B%5C%22surface%5C%22%3A%5C%22discover_filter_list%5C%22%2C%5C%22mechanism%5C%22%3A%5C%22surface%5C%22%2C%5C%22extra_data%5C%22%3A%7B%5C%22dashboard_filter%5C%22%3A%5C%22discovery%5C%22%7D%7D]%22%2C%22has_source%22%3Atrue%7D,עולם התעסוקה העכשווי דורש אנשים שהם גם וגם!בואו לשלב באוניברסיטת חיפה- מגוון שילובי החוגים הגדול בישראלההרשמה עדיין פתוחה לשנת הלימודים הקרובה!בואו ליום המולטי פתוח של אוניברסיטת חיפה!מה בתפריט?***דוכנים של כל החוגים לתואר ראשון לתארים מתקדמים וגם למכינה******מפגשים עם בוגרי החוגים******מתנה שווה במיוחד לנרשמים (כפוף להשתתפות בפעילות ומוגבל במלאי)****** 50% הנחה בדמי הרשמה ***העתיד נמצא בשילובים העתיד נמצא באוניברסיטת חיפה!מחכים לראותכם!*******שימו לב!*******השתתפות באירוע כפופה להרשמה בקישור הבא:open.haifa.ac.il
Devils' Birthday,https://scontent.ftlv4-1.fna.fbcdn.net/v/t1.0-9/38151536_1173028916170631_3010955692937838592_o.jpg?_nc_cat=0&oh=2039d663d726d3ccd0cbedc88aaa85d6&oe=5C11F6AD,11 AM,7 PM,2018-08-16,82 Derekh Ha'Atsma'ut 33034 Haifa Israel,Od Tattoo Piercing & Art,haifa,https://www.facebook.com/events/307945219954596/?acontext=%7B%22ref%22%3A110%2C%22source%22%3A2%2C%22source_dashboard_filter%22%3A%22discovery%22%2C%22action_history%22%3A%22[%7B%5C%22surface%5C%22%3A%5C%22discover_filter_list%5C%22%2C%5C%22mechanism%5C%22%3A%5C%22surface%5C%22%2C%5C%22extra_data%5C%22%3A%7B%5C%22dashboard_filter%5C%22%3A%5C%22discovery%5C%22%7D%7D]%22%2C%22has_source%22%3Atrue%7D,-
Spacer woman :: ackerman :: mars bar :: 16.8,https://scontent.ftlv4-1.fna.fbcdn.net/v/t1.0-9/39105133_539879296461458_1516224954155139072_o.jpg?_nc_cat=0&oh=0e78baaeaae4caa62849c38229c01666&oe=5BF3BCE1,9 PM,6 AM,2018-08-16,hanamal 35 הנמל 35 Haifa Israel,Mars bar haifa,haifa,https://www.facebook.com/events/298016557599071/?acontext=%7B%22ref%22%3A110%2C%22source%22%3A2%2C%22source_dashboard_filter%22%3A%22discovery%22%2C%22action_history%22%3A%22[%7B%5C%22surface%5C%22%3A%5C%22discover_filter_list%5C%22%2C%5C%22mechanism%5C%22%3A%5C%22surface%5C%22%2C%5C%22extra_data%5C%22%3A%7B%5C%22dashboard_filter%5C%22%3A%5C%22discovery%5C%22%7D%7D]%22%2C%22has_source%22%3Atrue%7D,במקור ממונטריאול כרגע מתל אביב. ספייסר וומן אקא אמנדה מור מגיעה אלינו בפעם הראשונה. בנגנת בעיקר באלפאבת ובאוגדנה.מינימל סינט אלקטרו ועוד..אקרמןעובד על פרוייקט טכנו חדש צפויים בקרוב שיחרורים חדשים ומרעננים בעתיד.מגיע לעוד סט סגירה כמו שאנחנו אוהבים.
‎الكتاب في حياة أطفالنا‎,https://scontent.ftlv4-1.fna.fbcdn.net/v/t1.0-9/p960x960/39000292_313804575853258_947178801463296000_o.jpg?_nc_cat=0&oh=e492a3239fd32ad03e693dfc021236da&oe=5C0DCDBC,5 PM,7:30 PM,2018-08-16,Yafo 55 35473 Haifa Israel,Almakwa Laundry & Cafe,haifa,https://www.facebook.com/events/219659898701124/?acontext=%7B%22ref%22%3A110%2C%22source%22%3A2%2C%22source_dashboard_filter%22%3A%22discovery%22%2C%22action_history%22%3A%22[%7B%5C%22surface%5C%22%3A%5C%22discover_filter_list%5C%22%2C%5C%22mechanism%5C%22%3A%5C%22surface%5C%22%2C%5C%22extra_data%5C%22%3A%7B%5C%22dashboard_filter%5C%22%3A%5C%22discovery%5C%22%7D%7D]%22%2C%22has_source%22%3Atrue%7D,-
